2018-03-30 09:58:27,010 | SpamMon | INFO | xavier - ... script started
2018-03-30 09:58:28,004 | SpamMon | INFO | joelle - ... script started
2018-03-30 09:58:30,794 | SpamMon | INFO | joelle - server connection established
2018-03-30 09:58:30,842 | SpamMon | INFO | xavier - server connection established
2018-03-30 09:58:30,923 | SpamMon | INFO | joelle - login successful - b'Logged in'
2018-03-30 09:58:30,975 | SpamMon | INFO | xavier - login successful - b'Logged in'
2018-03-30 09:58:31,390 | SpamMon | INFO | joelle - script stopped...
2018-03-30 09:58:34,178 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 09:58:34,338 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 09:58:34,543 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
2018-03-30 09:58:34,909 | SpamMon | INFO | xavier - newsletter@slp.conseildesoffres.be is a spam
2018-03-30 09:58:35,274 | SpamMon | INFO | xavier - Offers@Tradepubs.nl00.net is a spam
2018-03-30 09:58:35,784 | SpamMon | INFO | xavier - us@sumofus.org is a spam
2018-03-30 09:58:42,803 | SpamMon | INFO | xavier - script stopped...
2018-03-30 10:00:24,058 | SpamMon | ERROR | Connected to Spam DB
2018-03-30 10:00:24,511 | SpamMon | ERROR | Connected to Spam DB
2018-03-30 10:00:24,514 | SpamMon | INFO | xavier - ... script started
2018-03-30 10:00:24,534 | SpamMon | ERROR | Connected to Spam DB
2018-03-30 10:00:24,536 | SpamMon | INFO | joelle - ... script started
2018-03-30 10:00:25,007 | SpamMon | INFO | xavier - server connection established
2018-03-30 10:00:25,009 | SpamMon | INFO | joelle - server connection established
2018-03-30 10:00:25,138 | SpamMon | INFO | joelle - login successful - b'Logged in'
2018-03-30 10:00:25,601 | SpamMon | INFO | joelle - script stopped...
2018-03-30 10:00:28,338 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 10:00:28,542 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 10:00:28,705 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
2018-03-30 10:00:29,067 | SpamMon | INFO | xavier - newsletter@slp.conseildesoffres.be is a spam
2018-03-30 10:00:29,425 | SpamMon | INFO | xavier - Offers@Tradepubs.nl00.net is a spam
2018-03-30 10:00:29,872 | SpamMon | INFO | xavier - us@sumofus.org is a spam
2018-03-30 10:00:38,486 | SpamMon | INFO | xavier - script stopped...
2018-03-30 10:01:16,377 | SpamMon | INFO | Connected to Spam DB
2018-03-30 10:01:16,851 | SpamMon | INFO | Connected to Spam DB
2018-03-30 10:01:16,854 | SpamMon | INFO | joelle - ... script started
2018-03-30 10:01:16,890 | SpamMon | INFO | Connected to Spam DB
2018-03-30 10:01:16,893 | SpamMon | INFO | xavier - ... script started
2018-03-30 10:01:17,367 | SpamMon | INFO | joelle - server connection established
2018-03-30 10:01:17,408 | SpamMon | INFO | xavier - server connection established
2018-03-30 10:01:17,499 | SpamMon | INFO | joelle - login successful - b'Logged in'
2018-03-30 10:01:17,535 | SpamMon | INFO | xavier - login successful - b'Logged in'
2018-03-30 10:01:17,970 | SpamMon | INFO | joelle - script stopped...
2018-03-30 10:01:20,427 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 10:01:20,623 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 10:01:20,782 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
2018-03-30 10:01:21,149 | SpamMon | INFO | xavier - newsletter@slp.conseildesoffres.be is a spam
2018-03-30 10:01:21,505 | SpamMon | INFO | xavier - Offers@Tradepubs.nl00.net is a spam
2018-03-30 10:01:21,988 | SpamMon | INFO | xavier - us@sumofus.org is a spam
2018-03-30 10:01:31,572 | SpamMon | INFO | xavier - script stopped...
2018-03-30 10:21:34,748 | SpamMon | INFO | Connected to Spam DB
2018-03-30 10:21:35,238 | SpamMon | INFO | Connected to Spam DB
2018-03-30 10:21:35,238 | SpamMon | INFO | xavier - ... script started
2018-03-30 10:21:35,269 | SpamMon | INFO | Connected to Spam DB
2018-03-30 10:21:35,269 | SpamMon | INFO | joelle - ... script started
2018-03-30 10:21:35,736 | SpamMon | INFO | xavier - server connection established
2018-03-30 10:21:35,799 | SpamMon | INFO | joelle - server connection established
2018-03-30 10:21:35,861 | SpamMon | INFO | xavier - login successful - b'Logged in'
2018-03-30 10:21:35,937 | SpamMon | INFO | joelle - login successful - b'Logged in'
2018-03-30 10:21:36,419 | SpamMon | INFO | joelle - script stopped...
2018-03-30 10:21:39,061 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 10:21:39,266 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 10:21:39,422 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
2018-03-30 10:21:39,753 | SpamMon | INFO | xavier - newsletter@slp.conseildesoffres.be is a spam
2018-03-30 10:21:40,457 | SpamMon | INFO | xavier - us@sumofus.org is a spam
2018-03-30 10:21:40,942 | SpamMon | INFO | xavier - support@domadoo.com is a spam
2018-03-30 10:21:52,484 | SpamMon | INFO | xavier - script stopped...
2018-03-30 15:27:12,085 | SpamMon | INFO | Connected to Spam DB
2018-03-30 15:27:12,582 | SpamMon | INFO | Connected to Spam DB
2018-03-30 15:27:12,585 | SpamMon | INFO | joelle - ... script started
2018-03-30 15:27:12,616 | SpamMon | INFO | Connected to Spam DB
2018-03-30 15:27:12,620 | SpamMon | INFO | xavier - ... script started
2018-03-30 15:27:13,152 | SpamMon | INFO | joelle - server connection established
2018-03-30 15:27:13,157 | SpamMon | INFO | xavier - server connection established
2018-03-30 15:27:13,284 | SpamMon | INFO | xavier - login successful - b'Logged in'
2018-03-30 15:27:13,294 | SpamMon | INFO | joelle - login successful - b'Logged in'
2018-03-30 15:27:14,571 | SpamMon | INFO | New spam address added adminebcej@0-8-0.net
2018-03-30 15:27:14,768 | SpamMon | INFO | joelle - script stopped...
2018-03-30 15:27:17,048 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 15:27:17,287 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 15:27:17,452 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
2018-03-30 15:27:17,887 | SpamMon | INFO | xavier - newsletter@slp.conseildesoffres.be is a spam
2018-03-30 15:27:18,525 | SpamMon | INFO | xavier - us@sumofus.org is a spam
2018-03-30 15:27:19,087 | SpamMon | INFO | xavier - support@domadoo.com is a spam
2018-03-30 15:27:32,888 | SpamMon | INFO | Connected to Spam DB
2018-03-30 15:29:04,909 | SpamMon | INFO | Connected to Spam DB
2018-03-30 15:29:10,230 | SpamMon | INFO | xavier - ... script started
2018-03-30 15:29:10,891 | SpamMon | INFO | xavier - server connection established
2018-03-30 15:29:11,026 | SpamMon | INFO | xavier - login successful - b'Logged in'
2018-03-30 15:29:14,320 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 15:29:14,529 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-03-30 15:29:14,703 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
2018-03-30 15:29:15,030 | SpamMon | INFO | xavier - newsletter@slp.conseildesoffres.be is a spam
2018-03-30 15:29:15,658 | SpamMon | INFO | xavier - us@sumofus.org is a spam
2018-03-30 15:29:16,125 | SpamMon | INFO | xavier - support@domadoo.com is a spam
2018-03-30 15:29:32,702 | SpamMon | INFO | xavier - script stopped...
2018-03-30 15:29:32,704 | SpamMon | INFO | joelle - ... script started
2018-03-30 15:29:32,704 | SpamMon | INFO | joelle - script stopped...
2018-04-02 22:13:47,646 | SpamMon | INFO | Connected to Spam DB
2018-04-02 22:13:47,654 | SpamMon | INFO | xavier - ... script started
2018-04-02 22:13:48,304 | SpamMon | INFO | xavier - server connection established
2018-04-02 22:13:48,446 | SpamMon | INFO | xavier - login successful - b'Logged in'
2018-04-02 22:13:48,970 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-04-02 22:13:49,163 | SpamMon | INFO | xavier - newsletter@achatdesoffres.be is a spam
2018-04-02 22:13:49,389 | SpamMon | INFO | xavier - newsletter@les-annonces-du-jour2.be is a spam
